Grand Prix,Race,Circuit ,Year,Driver,Stop ,Lap Stop,Time,Duration,Winner,,
Australia,1,Albert Park Circuit,2014,Romain Grosjean,1,1,17:09:56,17.255,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Esteban Gutierrez,1,1,17:10:12,32.657,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Sergio Perez,1,1,17:10:14,25.541,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Valtteri Bottas,1,10,17:24:46,34.921,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Jenson Button,1,11,17:26:02,22.411,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Sergio Perez,2,11,17:27:03,22.497,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Nico Rosberg,1,12,17:27:27,24.331,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Daniel Ricciardo,1,12,17:27:37,22.994,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Kevin Magnussen,1,12,17:27:45,23.15,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Nico Hulkenberg,1,12,17:27:51,22.615,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Fernando Alonso,1,12,17:27:55,22.887,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Kimi Raikkonen,1,12,17:28:02,25.543,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Jean-Eric Vergne,1,12,17:28:02,23.124,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Daniil Kvyat,1,12,17:28:03,30.514,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Marcus Ericsson,1,23,17:48:18,23.238,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Max Chilton,1,24,17:49:56,24.209,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Jules Bianchi,1,20,17:54:48,23.821,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Romain Grosjean,2,28,17:56:08,22.264,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Pastor Maldonado,1,29,17:57:57,22.847,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Esteban Gutierrez,2,30,17:59:29,23.797,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Jenson Button,2,32,18:02:01,22.399,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Sergio Perez,3,32,18:02:29,22.526,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Nico Hulkenberg,2,33,18:03:36,22.933,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Jean-Eric Vergne,2,33,18:03:39,22.978,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Fernando Alonso,2,35,18:06:45,21.978,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Adrian Sutil,1,35,18:07:21,24.305,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Daniel Ricciardo,2,36,18:08:06,22.427,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Valtteri Bottas,2,36,18:08:28,23.117,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Kimi Raikkonen,2,36,18:08:30,21.825,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Daniil Kvyat,2,36,18:08:31,23.92,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Kevin Magnussen,2,37,18:09:47,22.273,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Nico Rosberg,2,38,18:10:59,23.673,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Max Chilton,2,41,18:18:13,23.493,Nico Rosberg,,
Australia,1,Albert Park Circuit,2014,Jules Bianchi,2,35,18:19:32,22.656,Nico Rosberg,,
Australia,1,Albert Park Circuit,2015,Marcus Ericsson,1,1,16:05:59,22.681,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Kimi Raikkonen,1,16,16:31:07,27.465,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Felipe Massa,1,21,16:38:38,22.062,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Nico Hulkenberg,1,21,16:39:11,22.137,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Daniel Ricciardo,1,23,16:42:09,22.535,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Sebastian Vettel,1,24,16:43:16,22.694,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Carlos Sainz,1,24,16:43:48,55.789,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Lewis Hamilton,1,25,16:44:32,22.295,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Felipe Nasr,1,25,16:45:12,22.933,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Nico Rosberg,1,26,16:46:11,22.105,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Marcus Ericsson,2,26,16:47:15,23.254,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Jenson Button,1,27,16:49:15,23.353,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Max Verstappen,1,32,16:56:30,23.532,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Sergio Perez,1,38,17:06:52,26.009,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Kimi Raikkonen,2,40,17:08:30,22.405,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Marcus Ericsson,3,43,17:14:28,22.353,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2015,Nico Hulkenberg,2,44,17:15:43,21.612,Lewis Hamilton,,
Australia,1,Albert Park Circuit,2016,Kevin Magnussen,1,1,16:09:48,27.831,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Carlos Sainz,1,8,16:19:48,22.414,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Felipe Nasr,1,10,16:23:19,22.701,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Felipe Massa,1,11,16:24:32,21.55,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Pascal Wehrlein,1,11,16:24:47,26.206,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Marcus Ericsson,1,11,16:24:51,22.357,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Nico Rosberg,1,12,16:25:48,21.531,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Daniel Ricciardo,1,12,16:25:59,22.245,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Fernando Alonso,1,12,16:26:14,21.796,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Jolyon Palmer,1,12,16:26:22,23.286,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Rio Haryanto,1,12,16:26:36,23.224,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Sebastian Vettel,1,13,16:27:17,21.339,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Max Verstappen,1,13,16:27:32,22.303,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Jenson Button,1,15,16:31:07,22.616,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Kimi Raikkonen,1,16,16:32:03,22.508,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Lewis Hamilton,1,16,16:32:16,21.94,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Nico Hulkenberg,1,16,16:32:30,22.167,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Sergio Perez,1,16,16:32:37,24.719,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Valtteri Bottas,1,17,16:34:32,21.376,Nico Rosberg,,
Australia,1,Albert Park Circuit,2016,Kevin Magnussen,2,16,16:34:50,22.079,Nico Rosberg,,
